#NAME	LK-P2	SB-P1	PM-P3	AW-SD2	UNZ-SD2	DH-SD2	BF-SD3	EP-SD1	AL-SD3	RK-SD1	BS-SD3	DSR-SD3	EK-P3	RvO-P2	KB-P1	WB-P1	NK-P3	IV-P2	GM11	EW-SD1	DG-SD1
Bacteria;Bacteroidota;Bacteroidia;ML602M-17;NA;NA	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;ADurb.Bin408;NA	343	92	33	1	0	0	2	0	0	0	0	0	7	19	20	48	0	58	0	35	0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;CMW-169;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;KD1-131;NA	0	0	1	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium	5	9	2	0	1	0	0	0	0	0	0	0	0	82	0	0	0	32	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;NA	1488	266	130	24	50	27	82	80	67	18	178	30	73	61	135	106	0	89	0	121	30
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NA;NA	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group;NA	0	86	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;S15A-MN91;NA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;SBYC-2600;NA	369	8	1	0	0	1	4	0	6	0	0	0	0	32	1	10	0	36	0	2	0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;ST-12K33;NA	5	4	2	0	1	1	2	1	0	0	1	0	0	4	1	1	0	2	0	1	0
Bacteria;Bacteroidota;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0
Bacteria;Bacteroidota;Chlorobia;Chlorobiales;Chlorobiaceae;Prosthecochloris	10698	9	156	7	40	21	1082	40	1668	44	48	19	1066	75	58	291	0	989	2	1499	567
Bacteria;Bacteroidota;Chlorobia;Chlorobiales;Chloroherpetonaceae;Chloroherpeton	0	0	0	0	0	1	0	13	0	8	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium	0	0	0	0	0	0	0	1	0	1	1	1	0	0	2	0	0	0	0	0	0
Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3-7	4	8	13	2	5	4	11	3	8	7	1	5	4	9	6	9	0	5	0	5	2
Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;Melioribacter	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;PHOS-HE36;NA	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;NA;NA	18	8	4	0	3	10	5	6	7	7	2	1	2	44	6	2	0	16	0	0	1
Bacteria;Bacteroidota;Kryptonia;Kryptoniales;BSV26;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Bacteria;Bacteroidota;Kryptonia;Kryptoniales;MSB-3C8;NA	85	35	1	2	6	5	2	34	2	8	2	0	0	19	10	1	0	17	0	1	0
Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Balneola	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Gracilimonas	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;uncultured	0	0	0	1	4	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0
Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;Rhodothermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured	1	0	3	0	0	3	0	0	0	1	2	0	0	1	3	0	0	2	0	0	0
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Halobacteriovorax	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;NA	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter	2	6	1	1	19	7	1	5	1	7	13	6	2	0	7	6	0	0	0	6	5
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;uncultured	0	0	1	0	2	0	3	1	9	0	0	0	0	0	0	3	0	0	0	0	0
Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade	18	57	2	4	18	15	0	28	0	5	11	2	3	2	39	0	0	6	0	1	0
Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;uncultured	3	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	2	0
Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;NA;NA	35	19	13	1	4	5	2	6	5	0	11	7	9	1	8	16	0	3	0	16	2
Bacteria;Bdellovibrionota;Oligoflexia;053A03-B-DI-P58;NA;NA	1	0	1	0	3	4	0	9	0	2	4	2	4	5	5	1	0	2	0	2	1
Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;uncultured	2	5	4	2	12	9	0	8	2	3	2	4	1	2	8	0	0	0	0	0	2
Bacteria;Caldatribacteriota;JS1;NA;NA;NA	283	434	229	27	88	53	10	135	7	19	19	35	109	75	142	184	0	75	0	184	24
Bacteria;Caldisericota;Caldisericia;Caldisericales;LF045;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;Caldithrix	6	3	0	0	3	0	9	3	9	2	5	3	5	0	2	2	0	0	0	2	1
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;Calorithrix	1	0	1	0	0	0	0	2	0	1	0	1	0	0	2	0	0	0	0	0	0
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;JdFR-76	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;NA	299	128	78	16	43	53	38	77	38	19	27	25	66	38	153	57	0	45	0	82	21
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;SM23-31	249	175	64	7	15	17	25	13	34	5	6	4	60	11	69	71	0	65	0	38	8
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;uncultured	3	19	1	3	11	13	538	5	390	1	1	1	0	8	1	13	0	8	0	8	3
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;NA	0	192	0	5	35	37	1	33	2	19	3	10	0	0	5	0	0	0	0	8	1
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Hydrogenimonadaceae;Hydrogenimonas	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;P6-b51;NA	0	579	0	2	5	1	1	0	0	1	6	4	0	0	0	0	0	0	0	5	2
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfuricurvum	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfurimonas	96	7484	51	130	415	344	136	661	100	122	409	201	47	236	228	74	0	42	0	192	88
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurospirillaceae;Sulfurospirillum	15	2	0	0	1	1	0	3	0	0	1	0	0	3	0	0	0	1	0	1	0
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Nitratifractor	0	11	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum	2671	2172	1307	65	177	154	87	534	69	58	109	131	613	149	654	774	0	217	0	2039	311
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;uncultured;NA	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Campylobacterota;Campylobacteria;Nautiliales;Nautiliaceae;Caminibacter	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1
Bacteria;Campylobacterota;Campylobacteria;Nautiliales;Nautiliaceae;uncultured	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;ADurb.Bin180;NA;NA	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;ADurb.Bin120	0	13	1	0	3	1	0	1	0	1	0	1	0	2	1	9	0	2	0	4	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae UCG-001	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Bellilinea	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;GWD2-49-16	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Ornatilinea	1	7	4	1	0	0	0	0	0	0	1	0	2	1	0	6	0	1	0	2	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Pelolinea	4	3	2	0	1	0	0	3	0	0	0	0	1	0	4	2	0	1	0	0	1
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Thermomarinilinea	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured	8	10	9	2	5	3	1	9	1	2	1	0	3	0	10	8	0	4	0	9	0
Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;NA	1	1	1	1	5	3	0	6	0	2	3	2	0	1	5	4	0	1	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;uncultured	16	35	36	4	11	5	1	9	0	3	18	4	8	10	6	11	0	10	0	6	3
Bacteria;Chloroflexi;Anaerolineae;MSB-5E12;NA;NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;NA;NA	14	5	7	0	1	1	0	5	0	1	0	1	1	2	7	12	0	4	0	2	0
Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA	0	0	0	0	1	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;SBR1031;NA;NA	36	11	12	4	4	6	1	7	3	3	12	0	9	4	2	33	0	15	0	14	3
Bacteria;Chloroflexi;Anaerolineae;SJA-15;NA;NA	0	1	0	0	3	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Thermoflexales;Thermoflexaceae;Thermoflexus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;uncultured;NA;NA	8	13	13	1	2	2	1	7	0	2	6	5	3	0	7	4	0	2	0	2	1
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Candidatus Chlorothrix	2	0	0	0	0	0	6	1	3	4	2	1	0	0	1	2	0	0	0	5	2
Bacteria;Chloroflexi;Dehalococcoidia;661239;NA;NA	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae;Dehalogenimonas	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidales Incertae Sedis;Dehalobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidia;DscP2;NA;NA	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidia;FS117-23B-02;NA;NA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Chloroflexi;Dehalococcoidia;FW22;NA;NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Chloroflexi;Dehalococcoidia;GIF3;NA;NA	0	2	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0
Bacteria;Chloroflexi;Dehalococcoidia;GIF9;AB-539-J10;NA	2	4	2	0	1	0	1	2	0	3	1	1	0	0	1	2	0	0	0	2	0
Bacteria;Chloroflexi;Dehalococcoidia;GIF9;AB-539-J10;SCGC-AB-539-J10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Chloroflexi;Dehalococcoidia;GIF9;NA;NA	2	0	2	0	1	1	1	1	0	1	0	0	0	0	0	2	0	0	0	2	0
Bacteria;Chloroflexi;Dehalococcoidia;H3.93;NA;NA	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidia;MB-C2-126;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Bacteria;Chloroflexi;Dehalococcoidia;MSBL5;NA;NA	13	6	25	1	0	0	0	7	0	0	0	0	10	0	4	9	0	2	0	2	1
Bacteria;Chloroflexi;Dehalococcoidia;Napoli-4B-65;NA;NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0
Bacteria;Chloroflexi;Dehalococcoidia;S085;NA;NA	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidia;Sh765B-AG-111;NA;NA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidia;vadinBA26;NA;NA	1	1	1	1	1	0	0	0	0	0	1	1	0	1	2	1	0	0	0	1	0
Bacteria;Chloroflexi;JG30-KF-CM66;NA;NA;NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;KD4-96;NA;NA;NA	1	2	1	0	0	3	0	0	0	4	1	0	1	0	0	1	0	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;MVP-21;NA;NA	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	2
Bacteria;CK-2C2-2;NA;NA;NA;NA	7	3	1	0	2	0	0	5	0	1	0	1	1	0	4	2	0	0	0	0	0
Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;LK-44f;NA	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;MSBL8;NA	879	234	253	20	48	44	47	32	38	4	51	20	117	23	128	219	1	73	0	205	31
Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;NK-L14;NA	13	1	3	0	0	0	0	0	1	0	1	0	2	0	0	1	0	1	0	1	0
Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;PBS-18;NA	3	24	6	2	3	1	0	3	0	2	6	2	7	0	11	10	0	0	0	9	2
Bacteria;Cloacimonadota;Cloacimonadia;MSBL2;NA;NA	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA	186	14860	342	1152	4697	5777	590	2115	446	1956	161	1579	231	4	1141	89	0	13	1	1847	347
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Cyanobacteriaceae;Symphothece PCC-7002	0	0	0	0	0	3	0	0	0	18	2	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Calothrix PCC-6303	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Cylindrospermopsis CRJ1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Sphaerospermopsis BCCUSP55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Oscillatoriaceae;Phormidium ETS-05	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Oscillatoriaceae;Planktothricoides SR001	2	151	0	11	43	25	3427	22	2952	1	73	35	1	0	59	1386	0	0	0	3531	702
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Oscillatoriaceae;uncultured	0	0	0	11	43	478	0	77	0	44	0	0	0	0	0	0	0	0	0	3	0
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Arthrospira PCC-7345	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Trichodesmium IMS101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Xenococcaceae;Chroococcidiopsis PCC-6712	0	16	0	3	3	1	0	0	0	0	2	6	9	1	4	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Xenococcaceae;Pleurocapsa PCC-7319	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;uncultured	1	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteriia;Phormidesmiales;Nodosilineaceae;MBIC10086	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Cyanobacteria;Cyanobacteriia;Phormidesmiales;Phormidesmiaceae;Phormidium MBIC10003	2	0	0	1	5	1	0	0	0	1	252	0	0	0	11	0	0	0	0	3	1
Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	1	0
Bacteria;Cyanobacteria;Sericytochromatia;NA;NA;NA	0	1	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;NA;NA	43	20	38	9	32	23	0	30	0	3	10	12	6	21	23	17	0	16	0	11	3
Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;NA;NA	0	5	1	4	9	6	0	2	0	6	1	1	0	1	0	0	0	0	0	1	1
Bacteria;Deferrisomatota;Defferrisomatia;Defferrisomatales;Defferrisomataceae;Deferrisoma	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Deinococcota;Deinococci;Deinococcales;Trueperaceae;Truepera	0	13	2	0	3	4	0	6	0	6	7	1	0	18	4	1	0	10	0	1	1
Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Meiothermus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Dependentiae;Babeliae;Babeliales;Babeliaceae;NA	2	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Bacteria;Dependentiae;Babeliae;Babeliales;NA;NA	30	18	7	5	12	7	3	77	4	16	8	10	9	17	49	28	0	11	0	23	2
Bacteria;Dependentiae;Babeliae;Babeliales;UBA12409;NA	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Dependentiae;Babeliae;Babeliales;UBA12411;NA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;NA	4	100	7	3	14	10	1	9	0	5	0	1	0	0	49	6	0	1	0	9	1
Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae;Desulfocarbo	5	2	3	0	1	0	40	4	53	1	2	0	4	2	1	8	0	0	0	7	3
Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae;Dethiosulfatarculus	0	1	0	0	0	0	0	0	3	0	0	0	0	40	0	0	0	2	0	0	0
Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae;uncultured	0	1	0	0	0	0	7	0	5	0	1	0	1	0	1	0	0	0	0	0	0
Bacteria;Desulfobacterota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae;Desulfobacca	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0
Bacteria;Desulfobacterota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans	717	692	731	61	118	124	30	289	32	48	74	70	795	176	282	438	0	184	0	421	58
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Candidatus Desulfamplus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacter	381	182	145	252	848	725	18	1535	9	323	305	380	46	864	1420	77	0	591	0	453	112
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacterium	5	0	3	1	6	3	0	3	0	1	1	5	0	2	3	0	0	4	0	2	1
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacula	818	381	428	22	85	102	18	72	14	15	23	16	120	155	84	210	0	318	0	300	36
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobotulus	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfoconvexum	13	6	16	3	9	5	3	11	12	8	6	3	0	12	17	2	0	8	0	5	1
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfospira	7	10	24	0	1	4	4	4	2	0	0	1	0	0	6	2	0	1	0	0	0
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfotignum	106	2	7	8	23	10	1	48	2	24	40	14	0	96	12	0	0	48	0	5	3
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;NA	30	4	11	14	32	35	2	33	2	2	18	22	1	5	45	0	0	25	0	23	10
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;uncultured	61	18	180	30	91	69	48	84	49	11	64	34	65	44	184	8	0	40	0	39	11
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfococcaceae;Desulfococcus	0	2	0	2	0	2	1	5	0	6	4	2	0	0	5	0	0	0	0	1	0
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfococcaceae;Desulfonema	10	0	0	2	11	7	29	9	27	1	13	2	0	23	12	11	0	23	0	3	0
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfococcaceae;uncultured	0	1	2	1	3	3	6	1	3	1	3	2	0	0	19	0	0	1	0	0	2
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;Desulfofaba	12	6	1	30	71	67	1	48	0	15	52	49	2	63	256	5	0	21	0	47	19
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;Desulfofrigus	0	0	1	30	65	43	0	193	0	75	72	52	0	3	129	0	0	2	0	44	12
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;Desulfoluna	0	0	0	5	12	3	0	13	0	9	3	8	0	83	4	1	0	35	0	6	2
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;uncultured	0	0	1	5	11	8	0	96	0	80	7	6	0	1	14	0	0	0	0	14	2
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulforegulaceae;Desulforegula	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Algorimarina	119	45	156	3	26	26	2	2	1	2	2	3	70	21	12	33	0	43	0	14	7
